"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authentication","Login","Unsuccessful authentication","0","0","4","0","0"
"Authentication","Login","Access control for protected resources","0","0","1","0","0"
"Navigation","Sidebar","Sidebar navigation - logout","0","0","1","0","0"
"Navigation","Sidebar","Sidebar navigation - display and close","0","0","1","0","0"
"Authentication","Login","Successful authentication","0","0","1","0","0"
"Shopping","Add to Cart","Add single product to cart","0","0","1","0","0"
"Shopping","Add to Cart","Cart state persistence","0","0","1","0","0"
"UI Verification","Login","Login UI specification","0","0","1","0","0"
"Shopping","Add to Cart","Add product to cart from product details page","0","0","1","0","0"
"Navigation","Sidebar","Sidebar navigation - all items","0","0","1","0","0"
"Shopping","Add to Cart","Prevent duplicate product addition","0","0","1","0","0"
"Shopping","Add to Cart","Remove product from cart","0","0","1","0","0"
"Shopping","Add to Cart","Add multiple products to cart","0","0","1","0","0"
"Navigation","Sidebar","Sidebar navigation - about","0","0","1","0","0"
"UI Verification","Sidebar","Sidebar UI specification","0","0","1","0","0"
